"Name","id.review","Text","Neg or Pos","Province","Type"
"Hotel 531",72,"la posizione","Pos","Olbia-Tempio","3-Star"
"Hotel 45",188,"the lights for reading on the bed","Neg","Medio Campidano","Other Facilities"
"Hotel 495",21,"staff cordiale  ottima accoglienza  stanza silenzios pulita  doccia con idromassaggio  colazione con frutta di stagione appena raccolta  fichi dolcissimi   parcheggio privato con telecomando  animali buffissimi da visitare  lama  struzzi  galli giganti  cinghialotti   ristoranti raggiungibili facilmente  posizione strategica  in macchina ","Pos","Olbia-Tempio","3-Star"
"Hotel 43",132,"silenzio cortesia doccia e riscaldamento","Pos","Oristano","3-Star"
"Hotel 191",11,"deludenti l ingresso  sembra di entrare in una struttura fatiscente e sporca  e gli spazi comuni  sottostimati gli ascensori  da  rivedere  le macchine per la distribuzione di bevande calde a colazione  buona la camera ","Neg","Medio Campidano","3-Star"
"Hotel 248",99,"good location  nice view from the terrace","Pos","Cagliari","3-Star"
"Hotel 578",234,"ottima professionalit  e gentilezza di tutto il personale     la hall e la struttura alberghiera   bella   comoda e funzionale  ottima colazione ","Pos","Olbia-Tempio","Other Facilities"
"Hotel 287",14,"l addebito della prima notte sulla carta di credito    avrei voluto pagare totalmente in contanti o con bancomat ma mi   stato riferito che booking in automatico addebitava la prima notte per precauzione    falso","Neg","Cagliari","3-Star"
"Hotel 96",67,"stanza comoda  bagno grande  colazione abbondantissima con dolce e salato di grande variet   parcheggio interno coperto ","Pos","Ogliastra","3-Star"
"Hotel 400",13,"only the breakfast could be better  it was limited to minimum  not much to choose","Neg","Olbia-Tempio","4-Star"
"Hotel 576",144,"camera molto bella  piscina all aperto  e staff gentilissimo  ottima struttura per passare del tempo in relax  consigliato","Pos","Olbia-Tempio","4-Star"
"Hotel 74",58,"nothing ","Neg","Ogliastra","3-Star"
"Hotel 45",485,"arredamento molto curato  colazione su grazioso terrazzo ","Pos","Medio Campidano","Other Facilities"
"Hotel 377",1,"molto bella la posizione immersa nel verde  la quiete delle stanze e la cortesia dello staff ","Pos","Nuoro","3-Star"
"Hotel 545",425,"il letto molto grande   la vasca e la doccia che non si trovano sempre insieme  la colazione abbondante e varia ","Pos","Olbia-Tempio","3-Star"
"Hotel 192",3,"bella camera con parquet e in buona posizione  vicina ai principali punti di interesse e nel centro di cagliari  il decoder sky con telecomando sky  il letto   comodo  per raggiungere la camera non   necessario passare sempre di fronte alla reception perch  con l ascensore si arriva direttamente alle camere partendo dal piano terreno  senza la necessit  di fermarsi al primo piano dove si trova la reception  ","Pos","Oristano","4-Star"
"Hotel 150",64,"nothing   close walk from the train station","Pos","Cagliari","Other Facilities"
"Hotel 191",45,"avendo gi  alloggiato nella loro struttura pochi giorni prima  ci hanno gentilmente offerto un free upgrade ","Pos","Medio Campidano","3-Star"
"Hotel 177",53,"climatizazione","Pos","Nuoro","3-Star"
"Hotel 137",41,"la piscina il mangiare le camere pulite e spaziose","Pos","Ogliastra","3-Star"
"Hotel 597",193,"letto scomodo  si sentivano le molle   e stanza molto rumorosa   lato su via aperta al traffico  l aria condizionata non funzionava ","Neg","Olbia-Tempio","2-Star"
"Hotel 163",76,"la pulizia  seppure accurata  poteva essere sicuramente migliorata  non   previsto l utilizzo del classico foglietto con  non disturbare  da porre fuori dalla porta  pu  quindi capitare che le pulizie vengano fatte mentre si   a colazione","Neg","Carbonia-Iglesias","Other Facilities"
"Hotel 206",98,"la cortesia e disponibilit  dello staff sono davvero impareggiabili    grazie dell accoglienza ","Pos","Nuoro","3-Star"
"Hotel 578",444,"la posizione decentrata","Neg","Olbia-Tempio","Other Facilities"
"Hotel 614",211,"sarebbe gradito un parcheggio riservato       ","Neg","Olbia-Tempio","4-Star"
"Hotel 291",5,"staff  servizio ristorativo  atmosfera di relax  spiaggie nei dintorni ","Pos","Ogliastra","Other Facilities"
"Hotel 196",78,"avevamo preso una camera con vista mare e appena arrivati ci hanno fatto un upgrade  la vista era praticamente favolosa   meravigliosa anche la posizione con spiaggia privata provvista di sdraio con gazebo in bamb   e bar grill sul bordo piscina   camera confortevole e wifi eccellente  personale gentile  ottima colazione  parcheggio gratuito ","Pos","Cagliari","4-Star"
"Hotel 435",215,"air conditioner didn t work in our room and was really hot in the room  you can hear loud noise from the street when window is open  hotel has no iron ","Neg","Sassari","Other Facilities"
"Hotel 392",43,"personale accogliente e posizione strategica e vicina al centro","Pos","Sassari","Other Facilities"
"Hotel 465",13,"very nice and friendly staff  the whole place is neat and tidy  quit modern as well  bathroom has a very comfortable shower  good to have a poolbar  whole pool area is top end ","Pos","Olbia-Tempio","3-Star"
"Hotel 455",71,"not providing a courtesy room on day of departure after being promised one ","Neg","Olbia-Tempio","4-Star"
"Hotel 207",213,"location  value  rooms","Pos","Cagliari","2-Star"
"Hotel 274",4,"posto centrale facile da trovare personale perfetto","Pos","Nuoro","4-Star"
"Hotel 400",60,"nothing","Neg","Olbia-Tempio","4-Star"
"Hotel 499",37,"l insieme di cortesia e servizi","Pos","Olbia-Tempio","3-Star"
"Hotel 195",90,"le stanze  standard  sono senza frigo e i bagni avrebbero bisogno di una buona ristrutturazione","Neg","Cagliari","Other Facilities"
"Hotel 97",65,"we spent 5 days in early june with a 9 months old baby  hotel was still quiet and there were no issues in getting the spots we wanted on the beach or in the park during the day  both beach and garden were beautifully maintained and we napped a lot under the gazebos with the baby  weather was hot and nice but water still a bit cold  staff was very friendly and helpful with the baby as well  nice bar with live music and aperitif in the evenings  we had a car and would drive to other restaurants for dinner at times but enjoyed the food at the restaurant when we stayed in  car is essential if you are planning to go to town or to see other beaches but one can be quite happy just to relax at the property ","Pos","Ogliastra","3-Star"
"Hotel 34",34,"migliorerei la manutenzione veramente scarsa formiche in casa perdite dai flessibili in bagno poca pressione dell  acqua in doccia  i materassi dei divani letto pessimi e l allestimento cucina scarso ","Neg","Ogliastra","Other Facilities"
"Hotel 597",74,"la posizione e lo staff  ottima accoglienza ","Pos","Olbia-Tempio","2-Star"
"Hotel 542",54,"il menu dell hotel","Pos","Sassari","Other Facilities"
"Hotel 172",97,"camera nuova e pulita  posizione centrale","Pos","Oristano","Other Facilities"
"Hotel 23",53,"the owner   delio   pointed out various restaurants in the area  which we all visited and supplied equal good ambiance and quality  that made up for his restaurant being closed during our stay  next time we would love to have dinner at vessus too ","Neg","Cagliari","3-Star"
"Hotel 97",18,"le camere molto piccole  la pulizia non accurata  le camere venivano rifatte il 6 minuti di orologio  il servizio del pranzo molto lento  e in generale ho trovato carente il servizio    un buon hotel ma decisamente non un 4 stelle superior","Neg","Ogliastra","3-Star"
"Hotel 204",5,"in generale pulito e comodo ","Pos","Nuoro","Other Facilities"
"Hotel 4",100,"really nice hotel in the near of the beach  the staff was also nice and cordially  i will come back ","Pos","Cagliari","3-Star"
"Hotel 159",29,"abbiamo dovuto attendere per fare colazione in quanto la  sala e  troppo piccola  colazione con poca scelta","Neg","Cagliari","3-Star"
"Hotel 431",98,"gentilezza  socievolezza e cortesia dello staff  ci   stato messo a disposizione il garage per parcheggiare la moto  rapporto qualit  prezzo direi imbattibile ","Pos","Olbia-Tempio","3-Star"
"Hotel 159",191,"room was very spacious  bath was large and clean with good towels   bed was comfortable with good linens   location was very good   view of the river excellent   priced well   breakfast was the best  ","Pos","Cagliari","3-Star"
"Hotel 345",54,"the space and the the grounds","Pos","Olbia-Tempio","4-Star"
"Hotel 391",26,"nothing","Neg","Nuoro","3-Star"
"Hotel 444",60,"friendly service very clean rooms beautiful location  and short transfer  excellent food  amp  wine ","Pos","Nuoro","4-Star"
"Hotel 58",273,"ore di attesa per il check in","Neg","Cagliari","4-Star"
"Hotel 94",114,"la posizione la cordialit  dello staff le camere e la pulizia lo consiglio sicuramente ","Pos","Ogliastra","3-Star"
"Hotel 118",87,"il letto super comodo e grande   avendo dormito in tre con il mio cucciolo di 10 mesi   stato  fantastico     inoltre la disponibilit  dello staff   stata eccezionale  ","Pos","Ogliastra","3-Star"
"Hotel 241",28,"camera piacevole   personale gentile   hotel ottima posizione ","Pos","Oristano","3-Star"
"Hotel 545",1686,"pool and pool restaurant good  piazette bar restaurant good  but wider variety on menu would be good ","Pos","Olbia-Tempio","3-Star"
"Hotel 517",6,"l impossibilit  di regolare la temperatura della stanza in modo autonomo  faceva un po  troppo caldo ","Neg","Olbia-Tempio","3-Star"
"Hotel 30",109,"breakfast was excelent  personal was very kind and bicycles were great   ","Pos","Cagliari","3-Star"
"Hotel 507",31,"i dolci per colazione troppo industriali   preferisco torte fresche o da forno  le stanze sono molto belle ma si sentono  rumori dell acqua delle altre stanze  manca l ascensore e il rumore sulle scale non permette di riposare sempre bene ","Neg","Olbia-Tempio","Other Facilities"
"Hotel 466",75,"l accoglienza al check in non   stata all altezza delle aspettative  visto che per prima cosa ci hanno fatto firmare la transazione della caparra  come da policy  per poi chiederci immediatamente il saldo del soggiorno  dopo aver viaggiato e senza aver visto n  la struttura n  la stanza non   piacevolissimo essere accolti cos   ma comunque questo non cambia il giudizio assolutamente positivo sull hotel ","Neg","Olbia-Tempio","Other Facilities"
"Hotel 160",225,"breakfast was not so good  only regular ","Neg","Cagliari","Other Facilities"
"Hotel 570",45,"the area is not very interesting  there is absolutely nothing worth mentioning in the vicinity  we really missed a caf  or a restaurant nearby but the town is almost completely empty and everything closed ","Neg","Sassari","4-Star"
"Hotel 515",52,"la pulizia generale  camere e zone esterne  ottimi  bella e ben tenuta la piscina ","Pos","Olbia-Tempio","4-Star"
"Hotel 2",61,"il mare","Pos","Cagliari","1-Star"
"Hotel 283",113,"purtroppo la colazione   la nota molto dolente e per noi che avevamo solo quel pasto   stata una delusione  reparto salati  solo cotto  fontina e salame insipidi  il pane spesso vecchio di un giorno  yogurt buoni  cornetti riscaldati buoni  peccato che quelli al cioccolato sono forse uno a persona e piccolissimi per cui finiscono in un minuto  la coazione viene servita dalle 8 alle 9 30  gi  alle 8 20 le cose sono finite e non vengono riportate  vedi i cornetti  ci sono poi dolci fatti in casa che sono buoni se freschi  cos  come i biscotti  peccato che vengano riproposti i giorni seguenti finch  non finiscono e prendono di raffermo  i succhi di frutta arancia e pera sono a volont  e non male ","Neg","Oristano","Other Facilities"
"Hotel 359",119,"posizione eccellente  tranquillita  e silenzio  prima colazione ottima  rapporto qualita  prezzo","Pos","Sassari","Other Facilities"
"Hotel 570",23,"ubicazione per nulla panoramica in un paese privo di interesse anche se comodo x raggiungere altri punti attrazione  l   hotel e  bello ma su un lato e  attiguo a un supermercato con carico e scarico al mattino presto  non te lo aspetti da un  4 stelle fuori citt   ","Neg","Sassari","4-Star"
"Hotel 162",90,"wi fi scadente  la partenza","Neg","Cagliari","4-Star"
"Hotel 207",144,"it would have been nice to have a public lounge for guests close to the bar   currently the bar is part of the restaurant area   however  there are good bars close by for that late evening digestivo   ","Neg","Cagliari","2-Star"
"Hotel 196",355,"junior suite with two separate beds joined together i think they can put one king size bed and make the whole experience much better ","Neg","Cagliari","4-Star"
"Hotel 396",35,"nulla","Neg","Olbia-Tempio","3-Star"
"Hotel 196",319,"the view over the sea is amazing  having breakfast every morning with this view was nice  breakfast was good too   staff very friendly and helpfull  good size bathroom ","Pos","Cagliari","4-Star"
"Hotel 257",101,"la colazione era molto povera  la posizione della camera che affacciava su una roccia quasi attaccata alla finestra era molto angusta","Neg","Cagliari","2-Star"
"Hotel 97",20,"il servizio al ristorante e la posizione","Pos","Ogliastra","3-Star"
"Hotel 469",17,"palestra solo all aperto  esiste anche una palestra al chiuso ma e  a pagamento  nell albergo e  anche presente una piscina ma durante il periodo del mio soggiorno  natalizio  era chiusa ","Neg","Sassari","3-Star"
"Hotel 304",67,"sono tutti molto professionali ed efficenti hotel ottimo ","Pos","Cagliari","3-Star"
"Hotel 591",58,"il materasso era molto comodo  la stanza davvero ampia ","Pos","Olbia-Tempio","3-Star"
"Hotel 274",180,"materasso comodissimo  colazione super ricca ","Pos","Nuoro","4-Star"
"Hotel 355",35,"sarebbe utile una piscina","Neg","Olbia-Tempio","Other Facilities"
"Hotel 243",114,"accoglienza ottima e gran simpatia del personale ","Pos","Cagliari","4-Star"
"Hotel 460",118,"very friendly staff  pleasant outdoor area","Pos","Sassari","4-Star"
"Hotel 205",189,"il personale   gentilissimo e pronto in ogni situazione  camera ok e cibo super sia qualit  che quantit  ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 56",141,"qualit  del cibo da migliorare","Neg","Ogliastra","3-Star"
"Hotel 420",427,"il cuscino troppo molle  sono abituato a cuscini gonfi  ","Neg","Olbia-Tempio","3-Star"
"Hotel 463",4,"da migliorare secondo me non c   niente l albergo per me era bello accogliente e caratteristico ","Neg","Olbia-Tempio","3-Star"
"Hotel 196",381,"almost no wifi terrible","Neg","Cagliari","4-Star"
"Hotel 274",263,"purtroppo la doccia non funzionava bene","Neg","Nuoro","4-Star"
"Hotel 240",159,"long stairs to get to the hostel","Neg","Nuoro","4-Star"
"Hotel 335",146,"safe parking  easy to find  friendly staff  good breakfast ","Pos","Nuoro","Other Facilities"
"Hotel 578",338,"l insieme ","Pos","Olbia-Tempio","Other Facilities"
"Hotel 304",1,"che il bar dopo le 23 30 non   pi  attivo e inoltre da segnalare la frutta a colazione non pu  essere gelida   e quindi immangiabile   ","Neg","Cagliari","3-Star"
"Hotel 494",151,"niente da segnalare","Neg","Sassari","3-Star"
"Hotel 225",139,"la vista bellissima   la posizione spettacolare","Pos","Cagliari","3-Star"
"Hotel 105",5,"  immerso nella campagna sarda ma vicinissimo a stintino  comodo e allo stesso tempo isolato e silenzioso    stupendo x ammirare il cielo stellato e la natura circostante  zona esterna molto comoda ","Pos","Oristano","3-Star"
"Hotel 162",105,"we had ants in our room and the shower frame was a little worn the wifi was not available in the rooms","Neg","Cagliari","4-Star"
"Hotel 21",65,"rooms are spacious and comfortable  ours was with a terasse with a great view  there was a nice variety of foods at breakfast with a possibility to eat outside ","Pos","Ogliastra","3-Star"
"Hotel 237",25,"stanza di qualit  superiore dotata di tutti i confort in stile holiday inn  ristorante di buon livello colazione con vista piscina ma migliorabile  poco ricca per un 4 stelle","Pos","Cagliari","3-Star"
"Hotel 309",24,"ci vado di frequente  rilassante","Pos","Cagliari","3-Star"
"Hotel 229",31,"camera praticamente perfetta  colazione buonissima  staff accogliente  disponibile e competente ","Pos","Cagliari","3-Star"
"Hotel 205",198,"breakfast was great  the room was spacious and comfortable and the staff were fantastic  especially at check in  the lady at concierge was lovely and her colleague was great too  he even leant me a travel adaptor  location superb also ","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 332",86,"nothing","Neg","Sassari","3-Star"
"Hotel 469",381,"sembra una casa di appuntamenti","Neg","Sassari","3-Star"
"Hotel 297",141,"la connessione wi fi non funziona bene","Neg","Cagliari","3-Star"
"Hotel 467",13,"la posizione di assoluta tranquillit   bella la spiaggia privata","Pos","Nuoro","4-Star"
"Hotel 404",32,"la doccia e  veramente minuscola","Neg","Nuoro","4-Star"
"Hotel 490",69,"l ho trovato rinnovato e ancora pi  accogliente anche nella stanza che ci   stata data 311","Pos","Sassari","Other Facilities"
"Hotel 71",64,"ottimo hotel  personale molto disponibile e molto professionale ","Pos","Oristano","3-Star"
"Hotel 26",16,"hospitality  coffee  location  sizes of rooms","Pos","Oristano","3-Star"
"Hotel 76",19,"friendliness cleanliness bed","Pos","Ogliastra","3-Star"
"Hotel 455",16,"we particularly liked the restaurant staff who were always professional  pleasant and attentive  the hotel was in a very peaceful setting  the food was exceptionally good   the interior design and fixtures and fitting were extremely fine  the pool area was relaxing and very well appointed ","Pos","Olbia-Tempio","4-Star"
"Hotel 561",13,"anche in questa struttura abbiamo trovato ospitalit  gentilezza e cortesia  e non mi stufer  di ripetere tipica della sardegna  aiooo ","Pos","Nuoro","Other Facilities"
"Hotel 43",79,"nulla","Neg","Oristano","3-Star"
"Hotel 491",15,"la colazione era scarsa poteva esserci qualcosa in piu  verdure inesistenti  presenti dolcetti frutta e pochi affettati ","Neg","Olbia-Tempio","5-Star"
"Hotel 331",2,"good location  walking distance to some stunning beaches  port and old town of alghero   good base for exploring the area  ","Pos","Sassari","3-Star"
"Hotel 106",212,"silenzioso","Pos","Medio Campidano","3-Star"
"Hotel 545",993,"hotel molto bello  il letto era comodissimo  ci si sente coccolati anche grazie al centro benessere  colazione varia e abbondante  consigliato ","Pos","Olbia-Tempio","3-Star"
"Hotel 323",16,"a very well equipped cozy house at a great location  we especially liked the bbq and being away from the  city  but still close to the lovely orosei and the beautiful beaches of the golfo di orosei ","Pos","Nuoro","3-Star"
"Hotel 59",51,"hotel strepitoso per le caratteristiche che credo siano uniche ","Pos","Ogliastra","4-Star"
"Hotel 37",135,"struttura efficiente  pulita e ben curata sia internamente che all esterno   palazzo d epoca con una certa importanza architettonica e anche il design interno   degno di nota  camere ben arredate e strutturate con un soppalco che ospita la zona notte e che amplia lo spazio senza nulla togliere a quello a disposizione   personale affabile  gentile e ben preparato  specie la capo sala del ristorante e la receptionist che ci hanno fatto sentire molto a nostro agio   sicuramente   un posto che suggeriremo a nostri conoscenti e amici ","Pos","Oristano","3-Star"
"Hotel 196",382,"breakfast is fantastic  room is big  clean and comfortable ","Pos","Cagliari","4-Star"
"Hotel 4",113,"this was a small  charming hotel surrounded by trees  shrubs and flowers   we appreciated personal service this family owned hotel provided    breakfast was diverse and plenty of it and included fruit  unlike many of the others   for us the location was good  not far from golfo arancio ","Pos","Cagliari","3-Star"
"Hotel 201",126,"colazione in terrazza    meravigliosa","Pos","Cagliari","Other Facilities"
"Hotel 545",56,"unico neo di questo soggiorno  mancanza di riscaldamento in camera    vero che ci   stata assegnata una suite anzich  una normale matrimoniale  ma considerato che fuori c era  la neve   meglio una piccola stanza riscaldata che una enorme ma  fredda ","Neg","Olbia-Tempio","3-Star"
"Hotel 47",7,"we were treated to a room with a charming balcony and view over the tile roof tops overlooking a beautiful church   the dinners were amazing  refreshing  innovative and lighter than traditional sardinian fare   the female chef  who should be honored  is an extraordinary representative of the best of  slow food     breakfast was also a notch above w homemade cakes and jams taken under the persimmon tree in the courtyard   our waiters were quite wonderful and personally attentive as well ","Pos","Cagliari","Other Facilities"
"Hotel 12",16,"nulla","Neg","Oristano","3-Star"
"Hotel 156",23,"posizione centrale  disponibilit  e gentilezza del personale  pietanze del ristorante buone e generose ","Pos","Nuoro","3-Star"
"Hotel 501",35,"accoglienza e pulizia","Pos","Olbia-Tempio","3-Star"
"Hotel 434",60,"la posizione ottimale  la cortesia del personale  la spa","Pos","Sassari","4-Star"
"Hotel 92",10,"pictures on bookin com are very good but far from reality  ","Neg","Ogliastra","3-Star"
"Hotel 545",1119,"niente  tutto splendido ","Neg","Olbia-Tempio","3-Star"
"Hotel 369",27,"beautiful hotel  the communal areas  lounge  bar  sun terrace  and views are amazing  live music in the evenings and mornings are breakfast    the location was perfect   but we did use a car to get to the top beaches down the coast","Pos","Olbia-Tempio","5-Star"
"Hotel 45",393,"staff gentile e professionale","Pos","Medio Campidano","Other Facilities"
"Hotel 411",138,"tutto","Pos","Olbia-Tempio","5-Star"
"Hotel 163",38,"la colazione spesso erano incasinati     ","Neg","Carbonia-Iglesias","Other Facilities"
"Hotel 171",406,"staff was very nice  good location","Pos","Oristano","4-Star"
"Hotel 537",45,"personale poco professionale","Neg","Sassari","4-Star"
"Hotel 223",42,"the hotel was very neglectful and irresponsible in not explaining or pointing out more clearly that it did not treat its water  the water in the hotel was not potable at all and my friend drank the water and became very ill for two weeks afterward  when we approached the staff at the hotel they were rather indifferent about the situation  it was either the case that the hotel does not treat its water to cut costs  and force guests to buy exorbitantly priced bottled water  or it is not diligent enough in consistently explaining this to guests upon check in  we would not stay at this hotel again for this reason ","Neg","Oristano","5-Star"
"Hotel 381",271,"ottima posizione e staff cortese  si sta benissimo ","Pos","Sassari","4-Star"
"Hotel 189",25,"la connessione wifi e la cena ","Neg","Ogliastra","3-Star"
"Hotel 499",51,"la posizione","Pos","Olbia-Tempio","3-Star"
"Hotel 597",249,"hotel is really nice and in good price  personal is very helpful  room are pretty large and very clean  breakfast are tasty  location is perfect  very close to the center  so it is all you need ","Pos","Olbia-Tempio","2-Star"
"Hotel 196",409,"quality of breakfast is medium despite being plentiful","Neg","Cagliari","4-Star"
"Hotel 576",163,"nulla","Neg","Olbia-Tempio","4-Star"
"Hotel 106",228,"nulla","Neg","Medio Campidano","3-Star"
"Hotel 246",36,"not having wifi in rooms and having to ask for a new password each day","Neg","Oristano","3-Star"
"Hotel 44",34,"si nota qualche insufficenza di manutenzione    e dopo la cena  che la cucina  non c    ","Neg","Oristano","3-Star"
"Hotel 162",123,"excellent staff and facilities","Pos","Cagliari","4-Star"
"Hotel 494",88,"molto pulita staff accogliente","Pos","Sassari","3-Star"
"Hotel 237",403,"the hotel itself is nice and people are friendly the restaurant is a little limited in its choice ","Pos","Cagliari","3-Star"
"Hotel 265",451,"very central  very good premises  good service  good breakfast ","Pos","Nuoro","3-Star"
"Hotel 303",38,"il letto e i cuscini molto scomodi e i muri  probabilmente  sottilissimi   ci hanno regalato una sinfonia notturna alquanto fastidiosa ","Neg","Carbonia-Iglesias","Other Facilities"
"Hotel 411",232,"posizione ottima  fronte mare   struttura molto curata nel dettaglio e pulita  personale cordiale e sempre disponibile ","Pos","Olbia-Tempio","5-Star"
"Hotel 568",61,"bella zona piscina attrezzata con lettini","Pos","Sassari","4-Star"
"Hotel 191",306,"very comfortable room with excellent facilities ","Pos","Medio Campidano","3-Star"
"Hotel 43",342,"great island  from the roof there is a beautifull view to the historic city of alghero","Pos","Oristano","3-Star"
"Hotel 199",83,"camera ben arredata e confortevole  colazione ricca fresca dolce e salata","Pos","Cagliari","5-Star"
"Hotel 577",172,"breakfast and location ","Pos","Sassari","Other Facilities"
"Hotel 563",168,"tiny room","Neg","Olbia-Tempio","4-Star"
"Hotel 362",120,"pulizia  tranquillit   ottima colazione","Pos","Olbia-Tempio","3-Star"
"Hotel 135",19,"mi hanno dato una camera con vista su spiaggia fantastica  la posizione dell albergo   ottima ","Pos","Cagliari","3-Star"
"Hotel 545",869,"ottima struttura ottimamente attrezzata","Pos","Olbia-Tempio","3-Star"
"Hotel 297",484,"just great an to easy all good","Pos","Cagliari","3-Star"
"Hotel 119",57,"  in ottime condizioni","Pos","Nuoro","3-Star"
"Hotel 404",2,"la disponibilit  e la cortesia di tutto il personale sono difficilmente eguagliabili   la cura e la pulizia del giardino e della piscina contribuiscono a rendere ancor pi  gradevole la permanenza","Pos","Nuoro","4-Star"
"Hotel 155",55,"posizione e piscina","Pos","Cagliari","3-Star"
"Hotel 602",112,"odore di umidit  persistente","Neg","Olbia-Tempio","Other Facilities"
"Hotel 420",522,"il wi fi nella nostra camera al piano semi interrato non funzionava","Neg","Olbia-Tempio","3-Star"
"Hotel 118",352,"tutto perfetto  personale gentilissimo  pulito  colazione stupenda  ottimo il ristorante ","Pos","Ogliastra","3-Star"
"Hotel 381",138,"penso sia pi  giusto considerarlo un tre stelle    ","Neg","Sassari","4-Star"
"Hotel 127",277,"building work scaffold all around hotel work men 8 am in morning  not happy dreaded going back to hotel food poor not sure if i would use you again","Pos","Oristano","4-Star"
"Hotel 306",17,"pulizia da migliorare  asciugamani  puliti   con svariate macchie   diverse volte tornati dalla colazione trovavamo le donne delle pulizie in camera  wifi molto instabile  arredamento obsoleto","Neg","Cagliari","4-Star"
"Hotel 461",98,"nice and spacious room ","Pos","Sassari","3-Star"
"Hotel 84",8,"convenient location very easy drive from the airport  beautiful swimming pool  large bedroom and very quiet ","Pos","Cagliari","3-Star"
"Hotel 343",125,"letto matrimoniale composto da due letti singoli x il resto tutto perfetto","Neg","Sassari","4-Star"
"Hotel 283",195,"this hotel was immaculate","Pos","Oristano","Other Facilities"
"Hotel 297",214,"pulito  comodo  silenzioso  posizione ottima per visitare la citt  ","Pos","Cagliari","3-Star"
"Hotel 489",531,"le camere erano poco insonorizzate","Neg","Olbia-Tempio","4-Star"
"Hotel 233",2,"nice owners and personnel  small but good breakfast selection  central in  nuoro  bus stop to orosei is 5 min to walk  central bus stop train station for busses trains to cagliari 15 20min walk   close  15min  to the entrance to the monte ortebene hiking path  ","Pos","Cagliari","Other Facilities"
"Hotel 148",100,"posizione ottima tra porto rotondo e porto cervo  hotel pulito ed elegante  sicuramente da consigliare ","Pos","Cagliari","3-Star"
"Hotel 432",10,"nulla ","Neg","Sassari","3-Star"
"Hotel 603",14,"colazione leggermente sotto le aspettative per gusto e scelta ","Neg","Sassari","3-Star"
"Hotel 468",9,"poca insonorizzazione  dal soffitto della zona bagno si sentivano i rumori provenienti da scarico e tubi scorrimento acqua del piano superiore","Neg","Sassari","3-Star"
"Hotel 127",169,"arredamento e attrezzature un po  datate   apertura della terrazza anche a non clienti dell albergo","Neg","Oristano","4-Star"
"Hotel 3",73,"la localit  dove si trova l albergo   comoda per raggiungere le piagge pi  belle del nord  l albergo si trova a pochi minuti di macchina dal mare e da spiagge bellissime  merita di essere scoperto anche l entroterra  basta fare pochi chilometri per vedere cose uniche tra terme e paesi carichi di storia ","Pos","Sassari","3-Star"
"Hotel 343",130,"tutto","Pos","Sassari","4-Star"
"Hotel 468",123,"il personale gentile ","Pos","Sassari","3-Star"
"Hotel 545",1381,"sand tennis courts are not very good","Neg","Olbia-Tempio","3-Star"
"Hotel 415",187,"la disponibilit  del personale e la posizione","Pos","Olbia-Tempio","4-Star"
"Hotel 55",119,"pulizia e tranquillit  unita ad un ottima cucina","Pos","Carbonia-Iglesias","Other Facilities"
"Hotel 609",9,"solamente la natura ","Pos","Sassari","Other Facilities"
"Hotel 525",159,"ho apprezzato le camere luminose e molto accoglienti   la gentilezza del personale e la colazione con una varia scelta di dolce e salato  ","Pos","Olbia-Tempio","3-Star"
"Hotel 318",20,"la scelta di lenzuola  di qualit ","Pos","Olbia-Tempio","Other Facilities"
"Hotel 199",33,"buona la cortesia e disponibilit  del personale e la prima colazione ","Pos","Cagliari","5-Star"
"Hotel 126",26,"era tutto ok","Pos","Nuoro","4-Star"
"Hotel 426",5,"struttura molto bella immersa nei boschi  per una vacanza all insegna del relax  piscina stupenda ","Pos","Olbia-Tempio","4-Star"
"Hotel 489",660,"great place  i will visit again for sure  breakfast best ever  ","Pos","Olbia-Tempio","4-Star"
"Hotel 263",174,"la disponibilit  del personale e l imposibilit  ad avere la sveglia programmata  l indisponibilit  per poter partire alle 5 con un minimo di assistenza","Neg","Cagliari","Other Facilities"
"Hotel 383",125,"nulla","Neg","Olbia-Tempio","3-Star"
"Hotel 481",25,"niente","Neg","Olbia-Tempio","4-Star"
"Hotel 455",99,"we went on a a boat trip which was incorrectly priced and incorrectly described ","Neg","Olbia-Tempio","4-Star"
"Hotel 208",3,"breakfast might need a bit organisation  breakfast room can get busy with some tables beeing reserved for rooms  others not visibly reserved  just explaining the system while check in might help  room had a poor view towards other walls of the building  generally no big complaints","Neg","Ogliastra","4-Star"
"Hotel 237",162,"la posizione della struttura   un po decentrata rispetto al centro della citt   la citt  in generale ","Neg","Cagliari","3-Star"
"Hotel 41",60,"location is right on a street  beds where very hard  breakfast is in a dark room and limited selection  if you want beach it is a good location   just cross the street  if you want to visit bosa you need a car  btw bosa is not worth a stay  the city is pretty run down ","Neg","Ogliastra","3-Star"
"Hotel 297",266,"proprio al centro di cagliari il che rende tutto pi  facile per sportarsi e fare un fine settimana differente dal solito in giro per le vie di cagliari","Pos","Cagliari","3-Star"
"Hotel 480",79,"la struttura  non ristrutturata    comunque comoda anche se non bellissima ","Neg","Olbia-Tempio","4-Star"
"Hotel 594",4,"the dinner is very good at he hotel with a nice variety of local dishes  the swimming pool area is nice and the rooms are comfortable","Pos","Olbia-Tempio","3-Star"
"Hotel 418",83,"arredi delle camere un po datati ","Neg","Olbia-Tempio","3-Star"
